,Ticker,Premium / Discount,DistributionRateNAV,DistributionRatePrice,DistributionAmtUSD,ReturnOnNAV,CategoryId,Category,SponsorId,SponsorName,IsManagedDistribution,Share Price,PriceChange,NAV,NAVPublished,Cusip,Fund Name,Date,NavTicker,Strategy,LeverageRatioPercentage,MarketCapUSDm,UNIIPerShare,DistributionFrequency,EarningsPerShare,CurrentDistribution,InceptionPrice,AverageCoupon,AMTPercentage,AverageWeightedMaturity,ExpenseRatio,BaselineExpense,TotalAssetsUSDm,IsLeveraged,IsPriceBelow52WkAvg,IsDiscountBelow52WkAvg,IsAMTPct,IsManaged,Term,AvgWtdDurationLevAdj,Yr3RetOnNav,Yr3RetOnPrice,Yr5RetOnNav,Yr5RetOnPrice,YTDRetOnNav,YTDRetOnPrice,SinceInceptionRetOnNav,SinceInceptionRetOnPrice,ReturnOnPrice,AvgDailyVolume,CallableYr1Pct,PrerefundedPercentage,AvgBondPrice,AvgWtdDurationNonLevAdj,EffDurationLevAdj,EffDurationNonLevAdj,Price52WkAvg,Discount52WkAvg,ZScore1Yr,ZScore3M,ZScore6M,ZScoreDate,InceptionDate,InceptionDateString,InceptionDateUnixTimestamp,DistributionDate
0,FAX,-0.0308,11.95652,12.33645,0.16499999999999998,12.37,13,Morningstar US CEF Global Income,1,abrdn Asia Limited,True,16.05,0.01,16.56,2026-03-02T00:00:00,003009867,abrdn Asia-Pacific Income Fund Inc,2026-03-02,XFAPX,Fixed Income - Taxable-Global Income,38.39,662.586,,Monthly,0.50096,0.16499999999999998,10.0,6.4653,,,4.22,,1109.64,True,True,True,False,True,False,,7.54,12.17,-0.41000000000000003,1.9,4.06,6.76,,,16.66,1705810,,,,,7.87,4.74,15.73301,-5.50229,1.15,1.82,1.17,2026-03-02T00:00:00,1986-04-24T00:00:00,4/24/1986,514684800,2026-02-20T00:00:00
1,IAF,-0.10300000000000001,9.38722,10.46512,0.36,22.81,9,Morningstar US CEF Single Country Equity,1,abrdn Asia Limited,True,13.76,-0.07,15.34,2026-03-02T00:00:00,003011111,abrdn Australia Equity Fund Inc,2026-03-02,XIAFX,Equity-Single-Country Equity,6.38,129.232,,Quarterly,0.07433000000000001,0.36,10.125,,,,1.9900000000000002,,153.891,True,True,False,False,True,False,,12.3,11.47,7.89,7.46,10.6,9.79,,,25.36,194180,,,,,,,13.17661,-9.8915,-0.3,-1.4,-0.91,2026-03-02T00:00:00,1985-12-12T00:00:00,12/12/1985,503193600,2026-02-20T00:00:00
2,AEF,-0.0833,7.69231,8.39161,0.18,74.66,4,Morningstar US CEF Emerging Market Equity,3,abrdn Investments Limited,True,8.58,-0.13,9.36,2026-03-02T00:00:00,00301W105,abrdn Emerging Markets ex-China Fund,2026-03-02,XAEFX,Equity-Emerging Market Equity,7.77,348.36,,Quarterly,0.03145,0.18,15.0,,,,1.96,,412.029,True,True,True,False,True,False,,26.17,30.19,6.23,8.45,23.2,24.43,,,89.06,1600960,,,,,,,6.30528,-10.7083,1.23,0.35000000000000003,0.97,2026-03-02T00:00:00,1989-09-25T00:00:00,9/25/1989,622684800,2025-12-31T00:00:00
3,AGD,0.0271,11.84211,11.52922,0.12,24.75,5,Morningstar US CEF Global Equity,3,abrdn Investments Limited,True,12.49,0.05,12.16,2026-03-02T00:00:00,00302M106,abrdn Global Dynamic Dividend,2026-03-02,XAGDX,Equity-Global Equity,1.63,310.778,,Monthly,0.41014,0.12,20.0,,,,1.29,,307.592,True,True,True,False,True,False,,15.05,21.55,9.07,12.87,7.35,8.82,,,35.85,1288060,,,,,,,11.3496,0.12409,0.45,0.45,-0.14,2026-03-02T00:00:00,2006-07-26T00:00:00,7/26/2006,1153872000,2026-02-20T00:00:00
4,FCO,0.055600000000000004,29.16667,27.63158,0.06999999999999999,14.05,13,Morningstar US CEF Global Income,2,abrdn Inc.,True,3.04,-0.23,2.88,2026-03-02T00:00:00,003013109,"abrdn Global Income Fund, Inc.",2026-03-02,XFCOX,Fixed Income - Taxable-Global Income,30.21,40.969,,Monthly,0.10196000000000001,0.06999999999999999,15.0,6.7676,,,4.85,,55.612,True,False,False,False,True,False,,12.13,-0.8,3.62,-2.35,3.08,16.97,,,-32.85,1180930,,,,,7.24,5.31,4.75092,52.89754,-0.9500000000000001,0.53,-0.04,2026-03-02T00:00:00,1992-02-28T00:00:00,2/28/1992,699235200,2026-02-20T00:00:00
5,ASGI,0.0775,11.30137,10.48868,0.22,35.0,13,Morningstar US CEF Global Income,2,abrdn Inc.,True,25.17,-0.13,23.36,2026-03-02T00:00:00,00326W106,abrdn Global Infrastructure Income Fund,2026-03-02,XAGIX,Fixed Income - Taxable-Global Income,0.78,795.933,,Monthly,0.2218,0.22,20.0,,,,2.16,,744.535,True,True,True,False,True,False,,15.87,26.04,11.53,16.4,11.96,15.33,,,58.69,1799780,,,,,,,20.74644,-1.84607,1.97,1.49,1.9300000000000002,2026-03-02T00:00:00,2020-07-28T00:00:00,7/28/2020,1595894400,2026-02-20T00:00:00
6,AWP,0.016200000000000003,11.65049,11.46497,0.12,18.44,7,Morningstar US CEF Real Estate,2,abrdn Inc.,True,12.56,0.0,12.36,2026-03-02T00:00:00,00302L207,abrdn Global Premier Properties,2026-03-02,XAWPX,Equity-Real Estate,7.68,376.036,,Monthly,0.02621,0.12,20.0,,,,2.27,,400.85,True,True,False,False,True,False,,10.21,12.99,3.13,5.79,12.09,11.26,,,18.56,1168260,,,,,,,11.71841,1.84653,-0.22,-0.12,-0.2,2026-03-02T00:00:00,2007-04-26T00:00:00,4/26/2007,1177545600,2026-02-20T00:00:00
7,HQH,-0.0616,12.52485,13.34746,0.63,21.77,8,Morningstar US CEF Sector Equity,2,abrdn Inc.,True,18.88,-0.27,20.12,2026-03-02T00:00:00,87911J103,abrdn Healthcare Investors,2026-03-02,XHQHX,Equity-Sector Equity,1.1,1062.742,,Quarterly,-0.04542,0.63,10.0,,,,1.11,,1132.54,True,True,True,False,True,False,,12.61,15.13,5.17,5.46,1.62,4.33,,,26.38,2000940,,,,,,,17.29215,-8.53018,1.43,0.74,1.0,2026-03-02T00:00:00,1987-04-23T00:00:00,4/23/1987,546134400,2026-02-20T00:00:00
8,THQ,0.0323,11.63166,11.26761,0.18,0.61,8,Morningstar US CEF Sector Equity,2,abrdn Inc.,True,19.17,-0.12,18.57,2026-03-02T00:00:00,879105104,abrdn Healthcare Opportunities Fund,2026-03-02,XTHQX,Equity-Sector Equity,22.63,794.356,,Monthly,-0.04983,0.18,20.0,4.0352,,,3.02,,994.308,True,True,True,False,True,False,,6.44,11.56,5.21,7.36,0.48,2.8200000000000003,,,3.4,1886070,,,,,7.72,,18.43556,-0.54795,1.29,0.99,1.6400000000000001,2026-03-02T00:00:00,2014-07-28T00:00:00,7/28/2014,1406505600,2026-02-20T00:00:00
9,ACP,-0.0436,16.20209,16.93989,0.0775,5.6,19,Morningstar US CEF Senior Loans,3,abrdn Investments Limited,True,5.49,-0.04,5.74,2026-03-02T00:00:00,003057106,abrdn Income Credit Strategies Fund,2026-03-02,XACPX,Fixed Income - Taxable-Senior Loans,29.41,688.834,,Monthly,0.24096,0.0775,20.0,8.2264,,,3.94,,1020.202,True,False,True,False,True,False,,9.54,6.62,2.07,2.2800000000000002,2.33,5.07,,,7.61,6022550,,,98.0187,,3.9699999999999998,2.9699999999999998,5.71713,-4.5775500000000005,0.14,0.26,0.46,2026-03-02T00:00:00,2011-01-27T00:00:00,1/27/2011,1296086400,2026-02-20T00:00:00
10,HQL,-0.1014,12.2807,13.66687,0.5599999999999999,38.23,8,Morningstar US CEF Sector Equity,2,abrdn Inc.,True,16.39,-0.26,18.24,2026-03-02T00:00:00,87911K100,abrdn Life Sciences Investors,2026-03-02,XHQLX,Equity-Sector Equity,2.27,491.027,,Quarterly,-0.06756,0.5599999999999999,15.0,,,,1.24,,546.451,True,True,False,False,True,False,,17.23,19.7,6.59,6.41,2.56,2.54,,,40.63,1364410,,,,,,,14.61908,-9.70416,-0.43,-0.56,-0.25,2026-03-02T00:00:00,1992-05-08T00:00:00,5/8/1992,705283200,2026-02-20T00:00:00
11,VFL,-0.09480000000000001,5.21739,5.76369,0.049999999999999996,2.11,21,Morningstar US CEF Municipal,2,abrdn Inc.,True,10.41,0.0,11.5,2026-03-02T00:00:00,24610T108,abrdn National Municipal Income Fund,2026-03-02,XVFLX,Fixed Income - Municipal-Municipal,41.22,127.814,,Monthly,0.30075,0.049999999999999996,15.0,4.8647,,,3.87,,240.197,True,True,True,False,True,False,,4.76,5.16,-0.29,0.59,3.29,2.35,,,2.2800000000000002,378150,13.63,,90.3088,,21.81,12.18,10.00972,-10.22632,0.73,0.23,0.6,2026-03-02T00:00:00,1993-02-26T00:00:00,2/26/1993,730684800,2026-02-20T00:00:00
12,AOD,0.0019,11.37441,11.35289,0.09999999999999999,25.02,5,Morningstar US CEF Global Equity,3,abrdn Investments Limited,True,10.57,-0.04,10.55,2026-03-02T00:00:00,00326L100,abrdn Total Dynamic Dividend,2026-03-02,XAODX,Equity-Global Equity,0.76,1114.406,,Monthly,0.37773,0.09999999999999999,20.0,,,,1.21,,1120.804,True,True,True,False,True,False,,15.61,22.06,9.64,13.49,7.39,10.95,,,37.67,5036410,,,,,,,9.17506,-6.40786,2.47,2.1,2.6,2026-03-02T00:00:00,2007-01-26T00:00:00,1/26/2007,1169769600,2026-02-20T00:00:00
13,THW,0.0096,11.24819,11.14081,0.1167,21.52,8,Morningstar US CEF Sector Equity,2,abrdn Inc.,True,12.57,-0.18,12.45,2026-03-02T00:00:00,87911L108,abrdn World Healthcare Fund,2026-03-02,XTHWX,Equity-Sector Equity,19.29,507.136,,Monthly,-0.04918,0.1167,20.0,3.7671,,,1.46,,622.062,True,True,True,False,True,False,,13.39,9.1,8.84,5.41,-0.03,1.6,,,19.39,1531850,,,,,7.37,,11.71868,-1.11522,0.88,3.58,2.43,2026-03-02T00:00:00,2015-06-26T00:00:00,6/26/2015,1435276800,2026-02-20T00:00:00
14,ADX,-0.0455,7.7144,8.08255,0.47,16.76,10,Morningstar US CEF US Equity,4,Adams Diversified Equity Fund Inc,False,23.26,0.1,24.37,2026-03-02T00:00:00,006212104,Adams Diversified Equity Fund,2026-03-02,XADEX,Equity-U.S. Equity,0.0,2850.167,,Quarterly,0.0702,0.47,10.0,,,,0.49000000000000005,,2986.181,True,True,True,False,False,False,,21.13,26.71,13.51,17.03,0.43,1.32,,,25.47,2757810,,,,,,,21.59126,-7.96135,2.05,1.52,1.6600000000000001,2026-03-02T00:00:00,1929-10-01T00:00:00,10/1/1929,-1270252800,2026-01-26T00:00:00
15,PEO,-0.1045,6.606,7.37674,0.49,26.58,8,Morningstar US CEF Sector Equity,5,Adams Natural Resources Fund Inc,False,26.57,0.39,29.67,2026-03-02T00:00:00,00548F105,Adams Natural Resources Fund,2026-03-02,XPEOX,Equity-Sector Equity,0.7000000000000001,730.724,,Quarterly,0.30657,0.49,15.0,,,,0.62,,815.98,True,True,False,False,False,False,,13.2,16.4,19.93,22.16,23.58,22.89,,,28.53,640420,,,,,,,21.82897,-10.32136,-0.15,-0.9,-0.35000000000000003,2026-03-02T00:00:00,1929-01-30T00:00:00,1/30/1929,-1291334400,2026-01-26T00:00:00
16,AVK,-0.0441,10.7032,11.19745,0.1172,19.13,11,Morningstar US CEF Convertibles,6,"Advent Capital Management, LLC",False,12.56,0.04,13.14,2026-03-02T00:00:00,00764C109,Advent Convertible & Income Fund,2026-03-02,XAVKX,Fixed Income - Taxable-Convertibles,37.63,554.508,,Monthly,0.17448,0.1172,25.0,5.5855,,,4.53,,930.137,True,True,False,False,False,False,,14.64,14.38,3.73,6.59,2.95,1.69,,,17.56,1531480,,,108.8431,,,,12.19958,-3.73688,-0.74,-0.04,-0.5,2026-03-02T00:00:00,2003-04-29T00:00:00,4/29/2003,1051574400,2026-02-13T00:00:00
17,AWF,-0.08070000000000001,6.89474,7.5,0.0655,7.07,14,Morningstar US CEF High Yield,7,AllianceBernstein L.P.,False,10.48,0.06,11.4,2026-03-02T00:00:00,01879R106,AllianceBernstein Global High Income,2026-03-02,XAWFX,Fixed Income - Taxable-High Yield,0.48,903.687,,Monthly,0.36846,0.0655,15.0,6.6754999999999995,,4.13,1.03,,987.729,True,False,False,False,False,False,,10.03,8.92,4.89,5.48,0.63,-1.77,,,1.08,2300090,,,98.402,,,,10.82142,-4.73681,-1.72,-1.52,-1.34,2026-03-02T00:00:00,1993-07-28T00:00:00,7/28/1993,743817600,2026-02-05T00:00:00
18,AFB,-0.0904,4.92766,5.41754,0.050179999999999995,2.09,21,Morningstar US CEF Municipal,7,AllianceBernstein L.P.,False,11.115,-0.01,12.22,2026-03-02T00:00:00,01864U106,AllianceBernstein National Mun Inc,2026-03-02,XAFBX,Fixed Income - Municipal-Municipal,38.47,319.5,,Monthly,0.27364,0.050179999999999995,15.0,5.093,19.78,13.64,3.66,,570.913,True,True,True,True,False,False,,4.34,6.34,-0.48,-1.0,2.58,3.7199999999999998,,,3.42,932310,,0.02,99.2093,,19.48,11.98,10.63169,-10.04527,1.07,1.1400000000000001,1.35,2026-03-02T00:00:00,2002-01-28T00:00:00,1/28/2002,1012176000,2026-02-05T00:00:00
19,NFJ,-0.08410000000000001,8.2768,9.03704,0.305,11.99,3,Morningstar US CEF Covered Call,103,"Virtus Investment Advisers, LLC",True,13.5,-0.05,14.74,2026-03-02T00:00:00,92840R101,AllianzGI Div Interest & Prem Common,2026-03-02,XNFJX,Equity-Covered-Call Funds,,1255.058,0.0,Quarterly,0.10275000000000001,0.305,25.0,1.9055,,,0.9600000000000001,,1370.337,False,True,True,False,True,False,,10.8,14.32,6.49,8.73,2.23,5.12,,,16.93,2046560,,,,,,,12.63837,-10.37889,1.83,1.0,1.45,2026-03-02T00:00:00,2005-02-28T00:00:00,2/28/2005,1109548800,2025-12-11T00:00:00
20,EOD,-0.0699,8.12143,8.73216,0.13644,26.75,5,Morningstar US CEF Global Equity,8,Allspring Global Investments,False,6.25,-0.03,6.72,2026-03-02T00:00:00,94987C103,Allspring Global Dividend Opp Fd,2026-03-02,XEODX,Equity-Global Equity,14.1,269.162,,Quarterly,0.08622,0.13644,20.0,7.1277,,,2.45,,336.903,True,True,True,False,False,False,,22.42,21.03,12.98,14.08,4.15,7.72,,,34.11,1324840,,,,,,,5.54754,-9.71254,3.56,3.26,3.65,2026-03-02T00:00:00,2007-03-28T00:00:00,3/28/2007,1175040000,2025-12-11T00:00:00
