,Ticker,Premium / Discount,DistributionRateNAV,DistributionRatePrice,DistributionAmtUSD,ReturnOnNAV,CategoryId,Category,SponsorId,SponsorName,IsManagedDistribution,Share Price,PriceChange,NAV,NAVPublished,Cusip,Fund Name,Date,NavTicker,Strategy,LeverageRatioPercentage,MarketCapUSDm,UNIIPerShare,DistributionFrequency,EarningsPerShare,CurrentDistribution,InceptionPrice,AverageCoupon,AMTPercentage,AverageWeightedMaturity,ExpenseRatio,BaselineExpense,TotalAssetsUSDm,IsLeveraged,IsPriceBelow52WkAvg,IsDiscountBelow52WkAvg,IsAMTPct,IsManaged,Term,AvgWtdDurationLevAdj,Yr3RetOnNav,Yr3RetOnPrice,Yr5RetOnNav,Yr5RetOnPrice,YTDRetOnNav,YTDRetOnPrice,SinceInceptionRetOnNav,SinceInceptionRetOnPrice,ReturnOnPrice,AvgDailyVolume,CallableYr1Pct,PrerefundedPercentage,AvgBondPrice,AvgWtdDurationNonLevAdj,EffDurationLevAdj,EffDurationNonLevAdj,Price52WkAvg,Discount52WkAvg,ZScore1Yr,ZScore3M,ZScore6M,ZScoreDate,InceptionDate,InceptionDateString,InceptionDateUnixTimestamp,DistributionDate
0,FAX,-0.0418,11.827960000000001,12.34414,0.16499999999999998,12.37,13,Morningstar US CEF Global Income,1,abrdn Asia Limited,True,16.04,0.1,16.74,2026-02-27T00:00:00,003009867,abrdn Asia-Pacific Income Fund Inc,2026-02-27,XFAPX,Fixed Income - Taxable-Global Income,38.14,662.173,,Monthly,0.50096,0.16499999999999998,10.0,6.4653,,,4.22,,1117.071,True,True,True,False,True,False,,7.54,12.17,-0.41000000000000003,1.9,4.06,6.76,,,16.66,1716090,,,,,7.87,4.74,15.73125,-5.51161,0.63,1.13,0.62,2026-02-27T00:00:00,1986-04-24T00:00:00,4/24/1986,514684800,2026-02-20T00:00:00
1,IAF,-0.10310000000000001,9.33852,10.41215,0.36,22.81,9,Morningstar US CEF Single Country Equity,1,abrdn Asia Limited,True,13.83,-0.17,15.42,2026-02-27T00:00:00,003011111,abrdn Australia Equity Fund Inc,2026-02-27,XIAFX,Equity-Single-Country Equity,6.35,129.889,,Quarterly,0.07433000000000001,0.36,10.125,,,,1.9900000000000002,,154.642,True,True,False,False,True,False,,12.3,11.47,7.89,7.46,10.6,9.79,,,25.36,194820,,,,,,,13.17101,-9.88993,-0.31,-1.4100000000000001,-0.9400000000000001,2026-02-27T00:00:00,1985-12-12T00:00:00,12/12/1985,503193600,2026-02-20T00:00:00
2,AEF,-0.07339999999999999,7.65957,8.26636,0.18,74.66,4,Morningstar US CEF Emerging Market Equity,3,abrdn Investments Limited,True,8.71,-0.02,9.4,2026-02-27T00:00:00,00301W105,abrdn Emerging Markets ex-China Fund,2026-02-27,XAEFX,Equity-Emerging Market Equity,7.74,353.638,,Quarterly,0.03145,0.18,15.0,,,,1.96,,413.653,True,True,True,False,True,False,,26.17,30.19,6.23,8.45,23.2,24.43,,,89.06,1604320,,,,,,,6.29206,-10.71744,1.75,1.4100000000000001,1.82,2026-02-27T00:00:00,1989-09-25T00:00:00,9/25/1989,622684800,2025-12-31T00:00:00
3,AGD,0.0163,11.764710000000001,11.57556,0.12,24.75,5,Morningstar US CEF Global Equity,3,abrdn Investments Limited,True,12.44,-0.21,12.24,2026-02-27T00:00:00,00302M106,abrdn Global Dynamic Dividend,2026-02-27,XAGDX,Equity-Global Equity,1.62,309.534,,Monthly,0.41014,0.12,20.0,,,,1.29,,309.583,True,True,True,False,True,False,,15.05,21.55,9.07,12.87,7.35,8.82,,,35.85,1294090,,,,,,,11.34132,0.11413000000000001,0.26,0.01,-0.35000000000000003,2026-02-27T00:00:00,2006-07-26T00:00:00,7/26/2006,1153872000,2026-02-20T00:00:00
4,FCO,0.1315,29.06574,25.68807,0.06999999999999999,14.05,13,Morningstar US CEF Global Income,2,abrdn Inc.,True,3.27,0.01,2.89,2026-02-27T00:00:00,003013109,"abrdn Global Income Fund, Inc.",2026-02-27,XFCOX,Fixed Income - Taxable-Global Income,30.14,44.068,,Monthly,0.10196000000000001,0.06999999999999999,15.0,6.7676,,,4.85,,55.747,True,False,False,False,True,False,,12.13,-0.8,3.62,-2.35,3.08,16.97,,,-32.85,1175500,,,,,7.24,5.31,4.76226,53.07962,-0.8,1.9300000000000002,0.17,2026-02-27T00:00:00,1992-02-28T00:00:00,2/28/1992,699235200,2026-02-20T00:00:00
5,ASGI,0.07980000000000001,11.26761,10.43478,0.22,35.0,13,Morningstar US CEF Global Income,2,abrdn Inc.,True,25.3,0.12,23.43,2026-02-27T00:00:00,00326W106,abrdn Global Infrastructure Income Fund,2026-02-27,XAGIX,Fixed Income - Taxable-Global Income,0.78,800.044,,Monthly,0.2218,0.22,20.0,,,,2.16,,746.748,True,True,True,False,True,False,,15.87,26.04,11.53,16.4,11.96,15.33,,,58.69,1809690,,,,,,,20.71893,-1.88297,2.04,1.6600000000000001,2.06,2026-02-27T00:00:00,2020-07-28T00:00:00,7/28/2020,1595894400,2026-02-20T00:00:00
6,AWP,0.0137,11.62228,11.46497,0.12,18.44,7,Morningstar US CEF Real Estate,2,abrdn Inc.,True,12.56,0.03,12.39,2026-02-27T00:00:00,00302L207,abrdn Global Premier Properties,2026-02-27,XAWPX,Equity-Real Estate,7.67,376.036,,Monthly,0.02621,0.12,20.0,,,,2.27,,401.748,True,True,False,False,True,False,,10.21,12.99,3.13,5.79,12.09,11.26,,,18.56,1177650,,,,,,,11.71626,1.84741,-0.47000000000000003,-0.38,-0.47000000000000003,2026-02-27T00:00:00,2007-04-26T00:00:00,4/26/2007,1177545600,2026-02-20T00:00:00
7,HQH,-0.0622,12.34084,13.15927,0.63,21.77,8,Morningstar US CEF Sector Equity,2,abrdn Inc.,True,19.15,0.1,20.42,2026-02-27T00:00:00,87911J103,abrdn Healthcare Investors,2026-02-27,XHQHX,Equity-Sector Equity,1.1,1077.94,,Quarterly,-0.04542,0.63,10.0,,,,1.11,,1149.427,True,True,True,False,True,False,,12.61,15.13,5.17,5.46,1.62,4.33,,,26.38,2005610,,,,,,,17.28571,-8.53928,1.4100000000000001,0.75,0.97,2026-02-27T00:00:00,1987-04-23T00:00:00,4/23/1987,546134400,2026-02-20T00:00:00
8,THQ,0.024399999999999998,11.47106,11.19751,0.18,0.61,8,Morningstar US CEF Sector Equity,2,abrdn Inc.,True,19.29,0.18,18.83,2026-02-27T00:00:00,879105104,abrdn Healthcare Opportunities Fund,2026-02-27,XTHQX,Equity-Sector Equity,22.39,799.136,,Monthly,-0.04983,0.18,20.0,4.0352,,,3.02,,1005.079,True,True,True,False,True,False,,6.44,11.56,5.21,7.36,0.48,2.8200000000000003,,,3.4,1892530,,,,,7.72,,18.4428,-0.5624800000000001,1.03,0.71,1.38,2026-02-27T00:00:00,2014-07-28T00:00:00,7/28/2014,1406505600,2026-02-20T00:00:00
9,ACP,-0.0383,16.17391,16.81736,0.0775,5.6,19,Morningstar US CEF Senior Loans,3,abrdn Investments Limited,True,5.53,-0.06,5.75,2026-02-27T00:00:00,003057106,abrdn Income Credit Strategies Fund,2026-02-27,XACPX,Fixed Income - Taxable-Senior Loans,29.37,693.853,,Monthly,0.24096,0.0775,20.0,8.2264,,,3.94,,1021.456,True,False,True,False,True,False,,9.54,6.62,2.07,2.2800000000000002,2.33,5.07,,,7.61,6043120,,,98.0187,,3.9699999999999998,2.9699999999999998,5.71927,-4.57841,0.48,0.61,0.79,2026-02-27T00:00:00,2011-01-27T00:00:00,1/27/2011,1296086400,2026-02-20T00:00:00
